p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
TNKS1BP1.1	0.00364780824386964	0.285125328586344	0.285	0.161	1	4	TNKS1BP1
ECPAS.2	0.00365115687630648	0.143019067929463	0.561	0.372	1	4	ECPAS
ACKR1	0.00366062078247813	2.69662957139883	0.033	0.007	1	4	ACKR1
NRCAM.2	0.00366551896047885	-3.82481243492672	0.008	0.079	1	4	NRCAM
AL359715.1	0.00366677260037148	1.48325026253838	0.049	0.014	1	4	AL359715.1
SEMA5A.3	0.00367103997604013	-1.27838719025905	0.415	0.456	1	4	SEMA5A
LINC01909	0.00367551697734483	2.36844649182975	0.033	0.007	1	4	LINC01909
FAXDC2.3	0.00367607630197006	0.29347939234646	0.39	0.243	1	4	FAXDC2
VTA1.1	0.00369492320089472	0.135868313563991	0.276	0.157	1	4	VTA1
LINC02362	0.00369788433599895	1.08059551269282	0.081	0.031	1	4	LINC02362
DCDC1	0.00369981496335858	1.29835840386674	0.049	0.014	1	4	DCDC1
POLR1E	0.00370019613934012	0.454388170597938	0.195	0.102	1	4	POLR1E
FGD6	0.00371687483437328	0.73896026680216	0.154	0.077	1	4	FGD6
SAMD15	0.00372053685055565	2.27081126818359	0.033	0.007	1	4	SAMD15
EIF1AX.1	0.00372107994932477	0.252640674172432	0.87	0.669	1	4	EIF1AX
SMOX.2	0.0037292602259069	0.547726535096993	0.163	0.08	1	4	SMOX
ABCA10.3	0.00373236568372916	0.107836870708411	0.301	0.175	1	4	ABCA10
AC002550.1	0.00373565450455972	1.86208580322652	0.033	0.007	1	4	AC002550.1
AGGF1.1	0.00374136186636688	0.272492746240244	0.382	0.234	1	4	AGGF1
CCDC7.1	0.00374572952168961	0.14443065721177	0.333	0.198	1	4	CCDC7
AC018358.1	0.00375082797461063	2.31990471387802	0.033	0.007	1	4	AC018358.1
RNF139-AS1	0.00375971798095823	1.39906131948067	0.081	0.031	1	4	RNF139-AS1
BIVM.1	0.00376399595777129	0.624779110753052	0.138	0.065	1	4	BIVM
STBD1.1	0.00376587864901638	0.598464548397946	0.179	0.092	1	4	STBD1
AL136115.2	0.00376605744218718	2.30093170689285	0.033	0.007	1	4	AL136115.2
ZFP36.2	0.0037703607751326	0.116139221316153	0.829	0.608	1	4	ZFP36
OSTF1	0.00377610703515861	0.170867940834521	0.407	0.244	1	4	OSTF1
PIWIL4.2	0.00377756540095789	1.01990388928155	0.13	0.061	1	4	PIWIL4
TEX26.1	0.00377796903721769	1.43764476703771	0.049	0.014	1	4	TEX26
GDAP2.1	0.0037810826925706	0.452291245468934	0.203	0.108	1	4	GDAP2
LMOD2.1	0.00378134308925666	2.16696296305907	0.033	0.007	1	4	LMOD2
AL162311.3	0.00378134308925666	2.00403022897306	0.033	0.007	1	4	AL162311.3
AL442128.2	0.00378305364408693	0.773611625717792	0.089	0.035	1	4	AL442128.2
DCHS2.2	0.00379098588940013	1.13023777579205	0.081	0.031	1	4	DCHS2
ZNF449	0.00379147784132114	0.662911863166639	0.114	0.05	1	4	ZNF449
RSF1.1	0.00379319118500561	0.141136790340791	0.829	0.609	1	4	RSF1
LINC00635	0.00379668509827582	2.0128537795694	0.033	0.007	1	4	LINC00635
MKLN1-AS	0.00379782133668284	0.641941531646158	0.114	0.05	1	4	MKLN1-AS
VAMP5.3	0.00380243461076206	0.187524907995244	0.862	0.641	1	4	VAMP5
OSGEP	0.00380354553795514	0.351274477730135	0.366	0.23	1	4	OSGEP
AC104123.1.2	0.00380374542117475	0.411317802908954	0.22	0.121	1	4	AC104123.1
TMEM229A.1	0.00381208365219173	2.10076376859286	0.033	0.007	1	4	TMEM229A
AC073167.1.1	0.003812730110589	0.877590342587281	0.089	0.035	1	4	AC073167.1
KRI1	0.00381459242577392	0.496653261865374	0.138	0.065	1	4	KRI1
CLOCK.2	0.00381672778726945	0.30178229912008	0.472	0.317	1	4	CLOCK
ABCB6.1	0.00381745305920116	0.595423274019688	0.163	0.081	1	4	ABCB6
TIMM17A.1	0.00381797721886627	0.255269569655128	0.341	0.204	1	4	TIMM17A
PTGES3.2	0.00381809234977204	0.268219644463481	0.959	0.829	1	4	PTGES3
MIPEP.2	0.00382581597515877	0.348950102985659	0.154	0.076	1	4	MIPEP
ITGB1BP1	0.00382873952637944	0.216902472396094	0.626	0.425	1	4	ITGB1BP1
AC008897.2	0.00384305112895928	1.78167381223223	0.033	0.007	1	4	AC008897.2
AC008264.2	0.00384305112895928	2.06078500273765	0.033	0.007	1	4	AC008264.2
EXOC8	0.00385012310972051	0.842330371642317	0.089	0.035	1	4	EXOC8
PENK.3	0.00385401272231274	0.381774906941068	0.146	0.071	1	4	PENK
GTF2H2	0.00385404709186889	0.588322412734508	0.171	0.088	1	4	GTF2H2
KCNAB1.3	0.00385814967344948	-3.0590388479448	0.016	0.091	1	4	KCNAB1
LINC01121	0.00385862042016507	2.10587039080241	0.033	0.007	1	4	LINC01121
TMEM42.2	0.00387190314051139	0.396299353079782	0.276	0.159	1	4	TMEM42
SCAF1	0.00387576746299804	0.12590379703449	0.244	0.131	1	4	SCAF1
DUSP10.1	0.00387864359016881	0.845947507731073	0.114	0.05	1	4	DUSP10
FKTN.1	0.00388901354960668	0.178416030470282	0.26	0.146	1	4	FKTN
RAB11B.1	0.00389573280276674	0.234494500987494	0.553	0.359	1	4	RAB11B
TRIM13.1	0.00389636309064803	0.140545432968886	0.423	0.265	1	4	TRIM13
TM9SF3.2	0.00389737170980943	0.144935743035081	0.805	0.568	1	4	TM9SF3
ETFRF1.2	0.00389797225111941	0.286501734181014	0.431	0.268	1	4	ETFRF1
RHNO1.1	0.00390070050785781	0.885531100612519	0.13	0.061	1	4	RHNO1
PTDSS2.1	0.0039037421409943	0.354642520855748	0.203	0.106	1	4	PTDSS2
RCN2.3	0.00390551503213375	0.205859603900709	0.805	0.559	1	4	RCN2
AP001269.2	0.00390567272556987	1.86412131450722	0.033	0.007	1	4	AP001269.2
CSNK2A1	0.00390615062411166	0.210617877422749	0.602	0.388	1	4	CSNK2A1
CSF3R.2	0.00391111848814773	1.38631444346769	0.065	0.022	1	4	CSF3R
RAB11FIP4.1	0.00391544533670821	1.38115597999838	0.049	0.014	1	4	RAB11FIP4
DANCR.1	0.00391619788576456	0.14746085521755	0.512	0.326	1	4	DANCR
AL445228.2	0.00392147225766304	1.90340809455363	0.033	0.007	1	4	AL445228.2
DNASE2.2	0.003928234601903	0.321422925530541	0.293	0.168	1	4	DNASE2
MRO.1	0.00393732981599229	1.70806747662644	0.033	0.007	1	4	MRO
DLEC1	0.00393879483803491	1.31830294770291	0.049	0.014	1	4	DLEC1
AC008764.8	0.00393879483803491	1.21081192023466	0.049	0.014	1	4	AC008764.8
RIMS4	0.00393879483803491	1.34128155679391	0.049	0.014	1	4	RIMS4
AC018816.1	0.00393989287212894	0.636806686317179	0.187	0.099	1	4	AC018816.1
DTD1.2	0.00393994050497631	0.104542671280414	0.382	0.23	1	4	DTD1
TRIM39	0.00395880296045889	0.921733361266926	0.114	0.051	1	4	TRIM39
BHLHE40-AS1.1	0.00396060812094242	1.26641180137583	0.13	0.061	1	4	BHLHE40-AS1
FKBP4	0.00396711000628717	0.235215962412367	0.439	0.281	1	4	FKBP4
AC005410.2	0.0039692197614649	1.22743063388959	0.033	0.007	1	4	AC005410.2
PCDHGA10	0.00397299762566723	0.724860262788716	0.106	0.045	1	4	PCDHGA10
AC009041.2	0.00397526748599075	0.951608857314429	0.073	0.026	1	4	AC009041.2
SP4.1	0.00398420008060894	0.592700146857737	0.22	0.124	1	4	SP4
LIN54	0.00399257995311899	0.415521051829445	0.203	0.108	1	4	LIN54
TENT4A	0.0039933203899956	0.313582225344053	0.293	0.173	1	4	TENT4A
FBXW2	0.00399418139402163	0.275276557778101	0.333	0.199	1	4	FBXW2
FAM210B.1	0.00399548189771001	0.300410153642217	0.447	0.281	1	4	FAM210B
KCNG2	0.00400025730762157	2.09168933380266	0.041	0.01	1	4	KCNG2
RRAGB.2	0.00402110867471773	0.23188357560484	0.341	0.206	1	4	RRAGB
PDCD7.3	0.00402332720756735	0.238655035176951	0.52	0.343	1	4	PDCD7
SLC12A8	0.00402736091229489	1.68850705692917	0.041	0.01	1	4	SLC12A8
TXNDC9.1	0.00403611618893838	0.215909684336125	0.309	0.179	1	4	TXNDC9
JKAMP.1	0.0040369241584097	0.249366275741048	0.455	0.288	1	4	JKAMP
EDEM1.1	0.00404040136620233	0.355362189834407	0.211	0.113	1	4	EDEM1
AC008840.1	0.0040667589598532	1.3142185796828	0.057	0.018	1	4	AC008840.1
CNNM2	0.00407078748655066	0.265028063172934	0.358	0.226	1	4	CNNM2
COX18	0.00407096185558322	0.457762653881927	0.138	0.065	1	4	COX18
TOMM34	0.00407189766634154	0.782878721875264	0.154	0.077	1	4	TOMM34
DRC3	0.00407364959325365	0.618083553572085	0.089	0.035	1	4	DRC3
C1orf143	0.00407426513565056	1.11202490410455	0.065	0.022	1	4	C1orf143
WNT5B.4	0.00407448041388836	0.451763241072247	0.309	0.194	1	4	WNT5B
SLC35A1	0.00407705550906359	0.231722984548991	0.366	0.221	1	4	SLC35A1
DNAH12	0.0040774926116248	1.42088776181163	0.057	0.018	1	4	DNAH12
PAQR7	0.00408949105091002	0.978268913266771	0.089	0.035	1	4	PAQR7
SIRT5.1	0.00409210240940315	0.222543484484185	0.195	0.102	1	4	SIRT5
MAGEE1	0.00409367422583648	1.13153372759286	0.049	0.014	1	4	MAGEE1
INSYN2A.3	0.00410350505854243	0.37823292219088	0.195	0.104	1	4	INSYN2A
NR5A2	0.0041035694356262	3.54617374944159	0.024	0.004	1	4	NR5A2
PPP1R8	0.00410493730253531	0.259388718822664	0.211	0.112	1	4	PPP1R8
EYS.1	0.00410640077306923	0.549924843544641	0.122	0.054	1	4	EYS
CFAP20.3	0.00410888504366096	0.447024751385876	0.382	0.24	1	4	CFAP20
AC098484.4	0.00410967495360084	1.42537871082104	0.041	0.01	1	4	AC098484.4
ZNF263.1	0.00411991591790234	0.434400477513169	0.179	0.092	1	4	ZNF263
GFRA1.4	0.00412370963617657	0.166913961701208	0.415	0.263	1	4	GFRA1
MLH1	0.00412599901973847	0.190005356259458	0.293	0.168	1	4	MLH1
TGOLN2.1	0.00412773334916503	0.208084383531827	0.65	0.426	1	4	TGOLN2
HELB	0.00412992589513614	0.162604682597113	0.285	0.166	1	4	HELB
ZMIZ1-AS1	0.00413330505023985	0.941821291836856	0.065	0.022	1	4	ZMIZ1-AS1
COG6.2	0.00413792780226627	0.183029682276941	0.301	0.173	1	4	COG6
LRRC37A3	0.00414476868667865	0.689698206799491	0.154	0.077	1	4	LRRC37A3
CTBP1.2	0.00414700669678495	0.26065096758882	0.333	0.197	1	4	CTBP1
ZSWIM5.2	0.00414752649773938	0.394698286758521	0.163	0.082	1	4	ZSWIM5
CCT4.1	0.00414875492169472	0.247692214752621	0.78	0.597	1	4	CCT4
SLC2A9.1	0.00415480377214769	0.269265990765534	0.228	0.126	1	4	SLC2A9
GYPC.3	0.00415996760747307	0.167793910077769	0.797	0.526	1	4	GYPC
LINC00115	0.00416487543455397	0.848316966255459	0.073	0.026	1	4	LINC00115
RAPGEF4-AS1	0.00416560909229317	4.1348782171597	0.024	0.004	1	4	RAPGEF4-AS1
SCO1.1	0.0041690930721355	0.362834854885439	0.268	0.154	1	4	SCO1
MAN2B2.1	0.00417282226314219	0.524127445229844	0.203	0.11	1	4	MAN2B2
CLCN6	0.00418129458633673	0.612677641017092	0.171	0.088	1	4	CLCN6
EFNA1.1	0.00418611519572065	0.492050002604388	0.22	0.119	1	4	EFNA1
AP001011.1	0.00418649476995476	0.358017787170064	0.236	0.132	1	4	AP001011.1
STUM.3	0.0041953448962252	-2.89427584596158	0.024	0.101	1	4	STUM
RGS14.2	0.00420460968059697	0.991031414735656	0.106	0.046	1	4	RGS14
ZNF28	0.00420589541396451	0.739137217588588	0.114	0.05	1	4	ZNF28
PLA2G10	0.00420744033000809	3.05458510899805	0.024	0.004	1	4	PLA2G10
NOG	0.00420744033000809	3.21557784854667	0.024	0.004	1	4	NOG
LINC01703	0.00421323245065271	1.19813208018055	0.065	0.022	1	4	LINC01703
TOP2A	0.00421971491382716	1.16143694873512	0.098	0.041	1	4	TOP2A
LAPTM4A-DT	0.00422180171689872	1.23462186057639	0.041	0.01	1	4	LAPTM4A-DT
FBXO38.1	0.00422659694130083	0.299740230059672	0.203	0.108	1	4	FBXO38
PPP1R12A.4	0.00422747224745391	-0.773834469349339	0.837	0.706	1	4	PPP1R12A
LINC00395	0.00422849851873677	3.22049558764216	0.024	0.004	1	4	LINC00395
LRRC1.2	0.00423006864399678	0.321603761370526	0.138	0.066	1	4	LRRC1
SELENOF.3	0.0042349933533255	0.147325455540444	0.886	0.685	1	4	SELENOF
AC010531.3	0.00423601096082426	1.54235659336117	0.041	0.01	1	4	AC010531.3
RNF14	0.00423714796852941	0.141499631039266	0.301	0.169	1	4	RNF14
CARM1.1	0.00423817843113288	0.468627879119441	0.228	0.128	1	4	CARM1
TNFRSF10D.1	0.00423871470997081	0.248533124682887	0.407	0.27	1	4	TNFRSF10D
EML4	0.00424065179407072	0.13060773452248	0.398	0.243	1	4	EML4
GUCY2C	0.00424965225910239	2.65232188654094	0.024	0.004	1	4	GUCY2C
GRB7	0.00424965225910239	2.27130053563552	0.024	0.004	1	4	GRB7
AC234775.4	0.00424965225910239	2.52459559024582	0.024	0.004	1	4	AC234775.4
TMEM184A	0.00425026356686752	1.7235103223069	0.041	0.01	1	4	TMEM184A
ARHGAP12.1	0.00425353791199476	0.13908905912496	0.358	0.221	1	4	ARHGAP12
HBS1L	0.00425550669012627	0.416462975743728	0.374	0.236	1	4	HBS1L
SNHG3	0.00425579061689473	0.42514300177228	0.211	0.113	1	4	SNHG3
LYRM4	0.00426272627516156	0.100559399917597	0.325	0.192	1	4	LYRM4
ZBED6CL	0.00427090193144692	2.37286202458643	0.024	0.004	1	4	ZBED6CL
PSMD1	0.00427727394906539	0.216782856835627	0.561	0.361	1	4	PSMD1
ZNF700	0.0042832112543973	0.397029448365751	0.138	0.066	1	4	ZNF700
ZNF302.2	0.00428491927643029	0.138922749864261	0.545	0.354	1	4	ZNF302
SRGAP3-AS4	0.00429224791735549	1.94938342647565	0.024	0.004	1	4	SRGAP3-AS4
AL137025.1	0.00429224791735549	1.83745105844328	0.024	0.004	1	4	AL137025.1
AC008011.2	0.00429328271998791	1.06792338154789	0.041	0.01	1	4	AC008011.2
PGPEP1.1	0.00430001466429684	0.818939218763921	0.163	0.083	1	4	PGPEP1
FAM111A-DT.1	0.00431025981791534	0.561856020155334	0.13	0.06	1	4	FAM111A-DT
TMCC3.2	0.00431160886602692	0.870733127242664	0.154	0.077	1	4	TMCC3
AC114811.2	0.00431369059965923	2.46039570641577	0.024	0.004	1	4	AC114811.2
AL031590.1	0.00431369059965923	2.52876563423306	0.024	0.004	1	4	AL031590.1
MFN1	0.00432473669247224	0.196086182681386	0.366	0.223	1	4	MFN1
NUDT4B	0.00433523036243797	2.7235678187797	0.024	0.004	1	4	NUDT4B
KIAA2012-AS1	0.00433523036243797	2.32767824949499	0.024	0.004	1	4	KIAA2012-AS1
UCP3	0.00433523036243797	2.52907744138941	0.024	0.004	1	4	UCP3
AC121761.1	0.00433523036243797	2.56765792584611	0.024	0.004	1	4	AC121761.1
SCN4A	0.00433523036243797	2.25065106393218	0.024	0.004	1	4	SCN4A
AL121894.1	0.00433523036243797	2.24716043936313	0.024	0.004	1	4	AL121894.1
MALRD1.3	0.00434449076617923	0.644626702109283	0.13	0.061	1	4	MALRD1
AC046143.1	0.00435125573314566	1.69119304956137	0.041	0.01	1	4	AC046143.1
ALDH9A1.2	0.0043563356942304	0.217137264652235	0.512	0.333	1	4	ALDH9A1
AC078983.1	0.004356867591023	2.19633269239424	0.024	0.004	1	4	AC078983.1
AC025160.1	0.004356867591023	2.2085306279939	0.024	0.004	1	4	AC025160.1
CDH4	0.004356867591023	1.9856887218864	0.024	0.004	1	4	CDH4
PHKA1-AS1	0.004356867591023	2.43587825738432	0.024	0.004	1	4	PHKA1-AS1
ZADH2.1	0.00435737772702453	0.389619543600392	0.26	0.148	1	4	ZADH2
ADGRB3.2	0.00435911536340348	0.126502389118805	0.293	0.178	1	4	ADGRB3
IGFBP4.1	0.00436722762146903	-0.491981526919805	0.976	0.897	1	4	IGFBP4
AC009299.3	0.0043786026719999	2.22988761407057	0.024	0.004	1	4	AC009299.3
PRICKLE4	0.0043786026719999	2.19920724741965	0.024	0.004	1	4	PRICKLE4
AL161785.1	0.0043786026719999	2.30964860763369	0.024	0.004	1	4	AL161785.1
CUZD1	0.0043786026719999	2.36074053409728	0.024	0.004	1	4	CUZD1
ZNF462.1	0.00438052705711012	-0.137056005941445	0.398	0.235	1	4	ZNF462
BET1	0.00438142237192283	0.298853400275316	0.366	0.226	1	4	BET1
ZC3H12A	0.00438179329718881	0.522181868821705	0.195	0.103	1	4	ZC3H12A
CERT1.1	0.00439051747324919	0.369229700468835	0.488	0.341	1	4	CERT1
LRRCC1.1	0.00439061773039811	0.22292591349031	0.252	0.141	1	4	LRRCC1
AC025154.2.1	0.00439520021261913	1.52303401396698	0.041	0.01	1	4	AC025154.2
SOCS5	0.00439687313227484	0.406743616681895	0.195	0.103	1	4	SOCS5
FCGR1B	0.00440043599321124	2.09080958456621	0.024	0.004	1	4	FCGR1B
AL596202.1	0.00440043599321124	1.68592769810215	0.024	0.004	1	4	AL596202.1
EBF2	0.00440128951414906	0.330725234796938	0.106	0.045	1	4	EBF2
AC025062.3.3	0.00440256625400418	0.470822244378621	0.114	0.05	1	4	AC025062.3
BBS1.2	0.00440300266432446	0.60978315292056	0.187	0.099	1	4	BBS1
PIGN	0.00440661471002811	0.215931748672958	0.301	0.184	1	4	PIGN
HIPK1	0.00440703899757881	0.219009868355566	0.333	0.197	1	4	HIPK1
FAM177A1.2	0.00441458337700581	0.28619612792706	0.61	0.446	1	4	FAM177A1
RABEP1	0.00441998350127773	0.30553015418083	0.577	0.395	1	4	RABEP1
SNX27.1	0.00442207287338521	0.234553874202939	0.317	0.19	1	4	SNX27
OPTC	0.00442236794375936	2.33154573754791	0.024	0.004	1	4	OPTC
GOLT1A	0.00442236794375936	2.35714029695035	0.024	0.004	1	4	GOLT1A
LINC02196	0.00442236794375936	1.9302382432368	0.024	0.004	1	4	LINC02196
LINC01394	0.00442236794375936	1.62019179540916	0.024	0.004	1	4	LINC01394
SLC38A4	0.00442236794375936	1.7193472434427	0.024	0.004	1	4	SLC38A4
AC087473.1	0.00442236794375936	2.21530632800868	0.024	0.004	1	4	AC087473.1
SLC5A4-AS1	0.00442236794375936	2.2825261037753	0.024	0.004	1	4	SLC5A4-AS1
TMEM143	0.0044248404528174	0.891532896145356	0.089	0.036	1	4	TMEM143
SARDH.1	0.00443170955602027	0.534672743967929	0.098	0.04	1	4	SARDH
ZNF724	0.00443484125075174	1.0068534465087	0.057	0.018	1	4	ZNF724
MOCOS.2	0.00443925544482796	0.726945322869834	0.122	0.055	1	4	MOCOS
AL731769.2	0.00444439891400912	0.73505548529199	0.024	0.004	1	4	AL731769.2
AC084880.3	0.00444439891400912	2.14890545946985	0.024	0.004	1	4	AC084880.3
FCHSD1	0.00444645227693563	0.494665564190638	0.057	0.018	1	4	FCHSD1
P2RY1	0.00445441855658708	1.415702387814	0.041	0.01	1	4	P2RY1
DEPDC7.1	0.00445441855658708	1.59158002971469	0.041	0.01	1	4	DEPDC7
CUX1.2	0.00445958989267385	0.183136628756792	0.724	0.495	1	4	CUX1
ULBP2	0.0044665292955907	1.29171767799681	0.024	0.004	1	4	ULBP2
AC007347.1.1	0.0044665292955907	1.53955624837377	0.024	0.004	1	4	AC007347.1
HSPA12B	0.0044665292955907	2.07530546671302	0.024	0.004	1	4	HSPA12B
AL356317.2	0.0044665292955907	2.13394557676131	0.024	0.004	1	4	AL356317.2
MYRIP	0.00448119895091519	1.61633787136855	0.065	0.023	1	4	MYRIP
AC005165.1.3	0.00448221118199059	0.332151664347347	0.195	0.104	1	4	AC005165.1
TCERG1L.2	0.00449297046977376	0.6464387724464	0.089	0.036	1	4	TCERG1L
GSTP1.2	0.00449523048760051	-0.276109514543798	0.992	0.899	1	4	GSTP1
AC017083.1.1	0.00450155321653988	0.96855364626238	0.089	0.036	1	4	AC017083.1
AC107021.1	0.00450472455872098	0.488809388313111	0.098	0.04	1	4	AC107021.1
SMIM29.2	0.00450485638121249	0.313769987827997	0.285	0.167	1	4	SMIM29
PABPC1.2	0.00450902900947642	0.164537508824146	0.984	0.869	1	4	PABPC1
KNTC1	0.0045230245650872	0.868422758631768	0.081	0.031	1	4	KNTC1
CCDC117	0.00452951540891327	0.284315586879305	0.285	0.166	1	4	CCDC117
FAM76B	0.00453492277963088	0.104132602960247	0.358	0.21	1	4	FAM76B
ZNF845	0.00453636482571094	0.873959423565261	0.065	0.022	1	4	ZNF845
TEX261.1	0.00454156609580834	0.306130786042219	0.211	0.114	1	4	TEX261
SEC14L1	0.0045542513033414	0.215270305514533	0.358	0.217	1	4	SEC14L1
GNA14	0.00456638601552752	0.851375561846497	0.106	0.046	1	4	GNA14
SHANK2.1	0.00456928590285121	0.764191661261904	0.081	0.031	1	4	SHANK2
RASSF3.3	0.00457169424549693	0.474221808950321	0.187	0.099	1	4	RASSF3
MARS	0.00458059222771312	0.449139592717977	0.317	0.195	1	4	MARS
MBD4.3	0.00458196595787054	0.194861343960506	0.496	0.311	1	4	MBD4
PLCD1	0.00458255848987417	0.676681893212743	0.163	0.083	1	4	PLCD1
RSPO1.1	0.00458526385600393	0.999029327776395	0.098	0.041	1	4	RSPO1
MRPL23.1	0.00461261300737444	0.445281861507148	0.228	0.126	1	4	MRPL23
BTBD10.1	0.00464320483537171	0.148925956829451	0.341	0.204	1	4	BTBD10
HDAC9.2	0.00464683937257872	0.191280069962662	0.244	0.139	1	4	HDAC9
D2HGDH	0.00464726757792944	0.186662896065096	0.195	0.102	1	4	D2HGDH
CLIC6.1	0.00465258979805826	0.520608212886466	0.187	0.099	1	4	CLIC6
HNRNPF	0.00465352206952298	0.186226510871985	0.764	0.523	1	4	HNRNPF
TOMM7.3	0.00465700220065004	-0.242908056462854	1	0.912	1	4	TOMM7
BX664615.2.1	0.00466378291022031	1.14094570946502	0.098	0.041	1	4	BX664615.2
ACAD11.2	0.00466419881987679	0.125927960541388	0.309	0.18	1	4	ACAD11
WBP2NL	0.00466778725210417	1.30622178004146	0.081	0.032	1	4	WBP2NL
THNSL2.3	0.00466871047864936	0.534599398629308	0.211	0.117	1	4	THNSL2
TMEM116.1	0.00467620434467853	0.446889191240883	0.163	0.081	1	4	TMEM116
ZHX1.1	0.00467941668723904	0.15411861734578	0.553	0.366	1	4	ZHX1
SLC39A4.3	0.00468279778234355	0.362091359565884	0.276	0.158	1	4	SLC39A4
SMPDL3A.2	0.0046828527153531	0.391736090240631	0.358	0.228	1	4	SMPDL3A
ABLIM3	0.00468525643040521	0.489312197832131	0.089	0.036	1	4	ABLIM3
GTF2E2.1	0.00468932675609506	0.261684896236782	0.431	0.27	1	4	GTF2E2
PRPF3	0.00469261429428428	0.111633491586856	0.309	0.179	1	4	PRPF3
AC015871.1.2	0.00469818482111936	0.479898408827591	0.179	0.093	1	4	AC015871.1
MAP1LC3A.2	0.00470503773788849	-0.873588845474249	0.569	0.552	1	4	MAP1LC3A
CKS2	0.00470628283861575	0.426009444602873	0.325	0.203	1	4	CKS2
EBLN3P.2	0.00471074778786651	0.177807233469019	0.398	0.246	1	4	EBLN3P
CACNA1H.2	0.00471183255873804	-3.45990906033841	0	0.061	1	4	CACNA1H
ZNF276	0.00471691343947419	0.572909184934625	0.114	0.05	1	4	ZNF276
POP7.1	0.00471760040678095	0.279122177981113	0.358	0.221	1	4	POP7
AL353759.1.2	0.00472220344768505	0.691182700417964	0.203	0.114	1	4	AL353759.1
MAP9	0.00473370686629054	0.239543543538429	0.537	0.363	1	4	MAP9
DPH3.1	0.00473711199162272	0.322665202840723	0.268	0.157	1	4	DPH3
IRF2	0.00473883093310856	0.117036904582343	0.618	0.406	1	4	IRF2
AL049629.1	0.00473897550432783	0.509368102491376	0.089	0.036	1	4	AL049629.1
WAKMAR2.1	0.00473958889833641	0.545437229677321	0.122	0.056	1	4	WAKMAR2
ANG.3	0.00474380425547947	0.331470574253937	0.39	0.239	1	4	ANG
CD2AP.1	0.00474532143429028	0.292448873618364	0.358	0.226	1	4	CD2AP
C21orf62-AS1.1	0.00475685041010727	0.586241913881936	0.106	0.046	1	4	C21orf62-AS1
SLC2A1	0.00476743650859089	1.04988162031717	0.089	0.037	1	4	SLC2A1
SRSF8.2	0.00480698601774119	0.272320606987947	0.398	0.252	1	4	SRSF8
PRDX6.2	0.00480837985510681	0.207450077464199	0.943	0.774	1	4	PRDX6
TGS1.1	0.00481907068110371	0.224543780815021	0.423	0.267	1	4	TGS1
H2AFY.1	0.00481975449774322	0.185633624363077	0.618	0.416	1	4	H2AFY
RSL1D1.1	0.00482266371790008	0.161848180769959	0.732	0.51	1	4	RSL1D1
COLEC12.3	0.00482490467145412	0.159761325333084	0.195	0.103	1	4	COLEC12
AL157392.3.1	0.00482492457608593	0.387226343408495	0.146	0.071	1	4	AL157392.3
SLC35E3.2	0.00482877126829946	0.210767391183476	0.293	0.169	1	4	SLC35E3
L3HYPDH.1	0.00483338871318889	0.370912794971941	0.22	0.122	1	4	L3HYPDH
METTL21A	0.0048450328144915	0.344716107827044	0.195	0.102	1	4	METTL21A
C9orf153.1	0.00485502462770619	0.700631229866131	0.106	0.046	1	4	C9orf153
PRR14L.1	0.00485568334228448	0.306547613042831	0.276	0.163	1	4	PRR14L
TMEM91.3	0.00486224687853088	0.240962131308243	0.293	0.17	1	4	TMEM91
ODR4.1	0.00486375328176478	0.334592449562955	0.366	0.232	1	4	ODR4
TBC1D9B.1	0.00486519159978518	0.376549297999557	0.276	0.163	1	4	TBC1D9B
PSMD12	0.00486807855681559	0.170094635984077	0.569	0.367	1	4	PSMD12
SSR4.4	0.00486993376878876	0.133118958489932	0.984	0.785	1	4	SSR4
PDE7B.1	0.00487032558883262	0.118797098368196	0.317	0.191	1	4	PDE7B
INTS6-AS1	0.00487423074672549	0.416628079957901	0.179	0.094	1	4	INTS6-AS1
LARP1B	0.00488266615813593	0.243430390695766	0.439	0.278	1	4	LARP1B
CABLES1.1	0.00488924957038048	0.86508725404282	0.13	0.063	1	4	CABLES1
EXOC1.2	0.00489430856147189	0.229652833100247	0.382	0.239	1	4	EXOC1
EOGT.2	0.00489485285228311	0.732204328437633	0.163	0.085	1	4	EOGT
POM121C.1	0.0048956467615728	0.302920712156402	0.244	0.136	1	4	POM121C
RILPL1	0.00489892251678066	0.227700167237201	0.301	0.172	1	4	RILPL1
AL353194.1	0.00490349424114424	0.873400275361485	0.089	0.036	1	4	AL353194.1
TNS2.2	0.00490375552255781	-0.966457486033615	0.504	0.517	1	4	TNS2
ZBTB49	0.00490529912396995	0.706910030730681	0.081	0.031	1	4	ZBTB49
C2orf88.1	0.00492208942290064	0.609366756691264	0.089	0.036	1	4	C2orf88
PRC1	0.0049315841746378	1.06611586754204	0.089	0.037	1	4	PRC1
AL035448.1.2	0.00493225825140302	1.45518054691591	0.065	0.023	1	4	AL035448.1
XIAP.1	0.00493485864991704	0.225956912699773	0.415	0.261	1	4	XIAP
CDC42EP5.2	0.00493529835184478	0.165478477899776	0.675	0.448	1	4	CDC42EP5
MAPKAPK3	0.0049382950778294	0.953744906304622	0.122	0.057	1	4	MAPKAPK3
CREBRF.1	0.00493991303084554	0.182407145463803	0.715	0.506	1	4	CREBRF
SNHG5.3	0.00496607177274348	0.213965956070933	0.976	0.854	1	4	SNHG5
